fight_id,event_id,event_name,event_date,fighter_a_id,fighter_a_name,fighter_b_id,fighter_b_name,winner_id,method,round,time,weight_class,is_title_fight,fighter_a_strikes_landed,fighter_a_strikes_attempted,fighter_a_takedowns_landed,fighter_a_takedowns_attempted,fighter_a_knockdowns,fighter_a_control_time,fighter_a_submission_attempts,fighter_a_reversals,fighter_a_head_strikes_landed,fighter_a_head_strikes_attempted,fighter_a_body_strikes_landed,fighter_a_body_strikes_attempted,fighter_a_leg_strikes_landed,fighter_a_leg_strikes_attempted,fighter_b_strikes_landed,fighter_b_strikes_attempted,fighter_b_takedowns_landed,fighter_b_takedowns_attempted,fighter_b_knockdowns,fighter_b_control_time,fighter_b_submission_attempts,fighter_b_reversals,fighter_b_head_strikes_landed,fighter_b_head_strikes_attempted,fighter_b_body_strikes_landed,fighter_b_body_strikes_attempted,fighter_b_leg_strikes_landed,fighter_b_leg_strikes_attempted
fef80c98b2fba70c,9a70f67ad2187fa3,UFC Fight Night: Moicano vs. Duncan,"April 04, 2026",d776b5814f2400b4,Ethyn Ewing,83455a9d17f57dae,Rafael Estevam,d776b5814f2400b4,KO/TKO,3,1:44,Bantamweight,False,21,49,0,0,0,0:15,0,0,16,42,1,1,3,4,17,63,0,4,0,0:00,0,0,13,54,1,2,3,7
fc3825dd1b67e39d,86b30a86664cb6e4,UFC Fight Night: Emmett vs. Murphy,"April 05, 2025",117a06469813e4ef,ChangHo Lee,8173f134396cb971,Cortavious Romious,117a06469813e4ef,KO/TKO,2,3:48,Bantamweight,False,61,99,1,2,0,3:27,1,2,8,18,0,2,0,0,8,14,1,2,0,1:11,0,1,3,9,1,1,1,1
4b1aec2395ebca14,86b30a86664cb6e4,UFC Fight Night: Emmett vs. Murphy,"April 05, 2025",eb8d8c2a95cfccb8,Victor Henry,f7be1db194e03d7e,Pedro Falcao,eb8d8c2a95cfccb8,DEC U,3,5:00,Bantamweight,False,50,87,1,1,1,1:38,0,0,13,44,6,6,3,3,26,52,0,3,0,0:36,0,0,12,34,3,4,5,5
4e69c86d09c9f782,6291ac0a3726732f,UFC on FUEL TV: Mousasi vs Latifi,"April 06, 2013",c945adc22c2bfe8f,Brad Pickett,bc7230f231701d66,Mike Easton,c945adc22c2bfe8f,DEC S,3,5:00,Bantamweight,False,29,57,2,3,0,0:57,0,0,16,44,2,2,8,8,31,55,1,4,0,1:39,0,0,12,28,5,6,8,9
5c3b8819dbe98114,899eaba48fa864a6,UFC Fight Night: Allen vs. Curtis 2,"April 06, 2024",f264ba50b007f39e,Victor Hugo,f7be1db194e03d7e,Pedro Falcao,f264ba50b007f39e,DEC U,3,5:00,Bantamweight,False,21,35,0,0,0,0:00,0,0,4,17,3,4,5,5,21,32,1,4,0,3:25,0,0,5,9,3,6,3,3
1f7566c90343a680,899eaba48fa864a6,UFC Fight Night: Allen vs. Curtis 2,"April 06, 2024",ffd3224638c01b57,Jean Matsumoto,e4ba58725825412d,Dan Argueta,ffd3224638c01b57,SUB,2,4:59,Bantamweight,False,8,15,1,2,0,0:57,0,0,1,6,0,1,5,5,26,41,4,8,0,2:45,0,0,6,16,0,0,0,0
678d27af287476f8,3dc3022232b79c7a,UFC 287: Pereira vs. Adesanya 2,"April 08, 2023",05339613bf8e9808,Rob Font,0232cabbc30a2372,Adrian Yanez,05339613bf8e9808,KO/TKO,1,2:57,Bantamweight,False,33,75,0,1,1,0:04,0,0,30,69,2,5,1,1,25,54,0,0,0,0:00,0,0,21,49,1,2,3,3
2cb34fc074f7a9ae,3dc3022232b79c7a,UFC 287: Pereira vs. Adesanya 2,"April 08, 2023",5ec591b78349ba7e,Christian Rodriguez,fe2babf95de24fb1,Raul Rosas Jr.,5ec591b78349ba7e,DEC U,3,5:00,Bantamweight,False,9,14,0,0,0,0:34,0,0,1,3,1,3,0,0,0,0,3,8,0,4:02,1,0,0,0,0,0,0,0
9a8964b148cb5923,3a97fda0de6f1fa4,UFC 273: Volkanovski vs. The Korean Zombie,"April 09, 2022",cb696ebfb6598724,Aljamain Sterling,d661ce4da776fc20,Petr Yan,cb696ebfb6598724,DEC S,5,5:00,Bantamweight,True,20,41,0,2,0,0:00,0,0,5,22,11,14,3,4,13,26,0,0,0,0:00,0,0,7,20,4,4,2,2
313c36ce9bde6cf6,3a97fda0de6f1fa4,UFC 273: Volkanovski vs. The Korean Zombie,"April 09, 2022",1291edf2d566a71a,Julio Arce,b67d6bacc68d4c92,Daniel Santos,1291edf2d566a71a,DEC U,3,5:00,Bantamweight,False,39,78,0,0,0,0:00,0,0,34,71,5,7,0,0,17,70,0,0,0,0:35,0,0,10,61,4,6,3,3
d1d7400c131ed40e,4887e5bc4dbb73ff,UFC Fight Night: Rothwell vs Dos Santos,"April 10, 2016",80daefbed11ce998,Alejandro Perez,d7adfcfdf7c6c1f8,Ian Entwistle,80daefbed11ce998,KO/TKO,1,4:04,Bantamweight,False,87,115,0,0,0,1:46,0,0,48,67,0,0,0,0,0,2,0,1,0,0:12,1,0,0,2,0,0,0,0
3b5e1d6cbf9c8c9f,4887e5bc4dbb73ff,UFC Fight Night: Rothwell vs Dos Santos,"April 10, 2016",42a7e90605df3c8a,Damian Stasiak,38ed5a2299230227,Filip Pejic,42a7e90605df3c8a,SUB,1,2:16,Bantamweight,False,3,5,2,2,0,1:42,1,0,1,2,0,0,1,1,2,4,0,0,0,0:22,0,0,0,2,0,0,0,0
1fee9eca658d9808,9114c8ded5ccd71d,UFC Fight Night: Vettori vs. Holland,"April 10, 2021",b8a85389d115e35a,Jack Shore,2af2f2e26c4c0402,Hunter Azure,b8a85389d115e35a,DEC S,3,5:00,Bantamweight,False,15,23,2,5,0,1:50,0,0,6,10,1,1,4,6,20,35,0,1,0,1:01,0,1,2,12,5,6,7,9
ceac6997d22f2f3b,d632d156c0549e07,UFC Fight Night: Minotauro vs Nelson,"April 11, 2014",94527830000ab715,Rani Yahya,ffc3e6daaa6da0b7,Johnny Bedford,,OTHER,1,0:39,Bantamweight,False,3,8,0,1,0,0:00,0,0,0,4,1,1,2,3,4,6,0,0,0,0:01,0,0,4,6,0,0,0,0
b4d0659f60c8aa7c,ce47f49e5c386a9c,The Ultimate Fighter: Team Jones vs. Team Sonnen Finale,"April 13, 2013",78114b7199cef90c,Urijah Faber,0b64d0fed453ef7f,Scott Jorgensen,78114b7199cef90c,SUB,4,3:16,Bantamweight,False,18,27,1,2,0,3:23,2,0,8,13,3,3,0,0,5,8,1,3,0,0:47,0,0,2,4,1,1,2,2
2456c4550c26e5e8,b0550072e5f0afa7,UFC 236: Holloway vs. Poirier 2,"April 13, 2019",b4537562f88ac582,Khalid Taha,98e946879ba20c0f,Boston Salmon,b4537562f88ac582,KO/TKO,1,0:25,Bantamweight,False,5,5,0,0,1,0:02,0,0,5,5,0,0,0,0,0,0,0,0,0,0:00,0,0,0,0,0,0,0,0
8da5849a6e7307bf,b0550072e5f0afa7,UFC 236: Holloway vs. Poirier 2,"April 13, 2019",cc1a8b4b38b92c6d,Montel Jackson,d0e50a3d1b250708,Andre Soukhamthath,cc1a8b4b38b92c6d,DEC U,3,5:00,Bantamweight,False,25,42,2,2,0,1:25,0,0,8,24,4,4,3,4,18,30,0,0,0,0:00,0,0,3,13,2,2,12,14
79da0eacafb22f86,b0550072e5f0afa7,UFC 236: Holloway vs. Poirier 2,"April 13, 2019",cc351e408bbb7d43,Brandon Davis,325ad0dd9126d3df,Randy Costa,cc351e408bbb7d43,SUB,2,1:12,Bantamweight,False,33,73,0,0,0,1:08,0,0,17,51,3,8,9,10,36,81,0,0,0,0:11,0,0,27,70,6,8,1,1
3ab0d8b344d2ebea,6750e338922a099d,UFC 300: Pereira vs. Hill,"April 13, 2024",aa72b0f831d0bfe5,Deiveson Figueiredo,d8c7c61b176e3994,Cody Garbrandt,aa72b0f831d0bfe5,SUB,2,4:02,Bantamweight,False,9,15,0,3,0,0:04,0,0,5,10,2,3,2,2,15,27,0,0,0,0:02,0,0,4,15,0,0,10,11
806761834799c352,21f2974fd08085e3,UFC on FUEL TV: Gustafsson vs Silva,"April 14, 2012",c945adc22c2bfe8f,Brad Pickett,c96e2ae6021144a1,Damacio Page,c945adc22c2bfe8f,SUB,2,4:05,Bantamweight,False,32,58,4,4,0,3:13,0,0,15,38,1,1,0,0,19,42,1,1,0,0:19,1,0,9,27,3,7,1,1
bd1e01de1f24962b,620be7e0712d431b,UFC Fight Night: Poirier vs. Gaethje,"April 14, 2018",80daefbed11ce998,Alejandro Perez,2fc7e9701642ca38,Matthew Lopez,80daefbed11ce998,KO/TKO,2,3:42,Bantamweight,False,45,66,0,1,0,0:23,0,0,3,16,0,0,5,8,18,25,3,4,0,2:59,2,0,6,12,3,3,0,0
4210f9b11debf1fc,620be7e0712d431b,UFC Fight Night: Poirier vs. Gaethje,"April 14, 2018",96428b9e9bd048ea,Luke Sanders,39330403ad27c2bb,Patrick Williams,96428b9e9bd048ea,DEC U,3,5:00,Bantamweight,False,24,44,0,0,1,0:42,0,0,17,35,5,7,0,0,21,29,0,3,0,0:44,0,0,1,6,9,12,5,5
20be16a1db95156c,ed069a95aaaf4f56,UFC on FOX: Johnson vs. Reis,"April 15, 2017",e979c76341f19b22,Tom Duquesnoy,39330403ad27c2bb,Patrick Williams,e979c76341f19b22,KO/TKO,2,0:28,Bantamweight,False,30,40,0,0,1,0:13,0,0,13,22,12,13,5,5,37,70,2,4,0,0:38,0,0,15,43,11,14,6,6
677e98ae5834ba70,ed069a95aaaf4f56,UFC on FOX: Johnson vs. Reis,"April 15, 2017",cb696ebfb6598724,Aljamain Sterling,3d5b1ce6097dbb49,Augusto Mendes,cb696ebfb6598724,DEC U,3,5:00,Bantamweight,False,43,68,1,1,0,3:24,0,0,1,15,18,21,4,10,33,48,0,0,1,0:11,0,1,3,13,2,3,4,4
d856812dc733690a,15b1b21cd743d652,UFC Fight Night: Holloway vs. Allen,"April 15, 2023",6bd02119599741a4,Pedro Munhoz,45f0cc9d18f35137,Chris Gutierrez,6bd02119599741a4,DEC U,3,5:00,Bantamweight,False,20,42,0,0,1,2:51,0,0,9,21,1,5,0,6,16,25,0,0,0,0:06,0,0,5,12,2,2,7,9
119559fd8124fee3,15b1b21cd743d652,UFC Fight Night: Holloway vs. Allen,"April 15, 2023",96924b0019b3aff1,Gaston Bolanos,34c2b3656f88f7ef,Aaron Phillips,96924b0019b3aff1,DEC U,3,5:00,Bantamweight,False,22,52,0,0,0,0:00,0,0,9,30,2,6,11,16,10,26,0,0,0,0:00,0,0,2,12,7,11,1,3
3427667c1a265fe5,f9f07bb5a43535ed,UFC Fight Night: Bisping vs Kennedy,"April 16, 2014",3c0437fbeda06962,George Roop,fe91d254db77a7fc,Dustin Kimura,3c0437fbeda06962,DEC U,3,5:00,Bantamweight,False,24,40,1,1,0,2:57,0,0,9,23,5,6,0,0,3,10,2,4,0,0:33,0,0,1,8,1,1,0,0
d2519c169f3039ee,f9f07bb5a43535ed,UFC Fight Night: Bisping vs Kennedy,"April 16, 2014",b8592b4a383696cd,Mitch Gagnon,c10eb2f12c489f6d,Tim Gorman,b8592b4a383696cd,DEC U,3,5:00,Bantamweight,False,16,41,0,0,0,0:00,2,0,5,28,6,7,5,6,17,44,0,2,0,2:17,0,0,5,31,0,0,1,2
249b75a787dccfe6,e7e970d508529bf3,UFC on FOX: Teixeira vs Evans,"April 16, 2016",99506df1af6c8b3b,John Dodson,cc6f9d1e89f3449a,Manvel Gamburyan,99506df1af6c8b3b,KO/TKO,1,0:37,Bantamweight,False,18,21,0,0,1,0:04,0,0,15,18,1,1,0,0,2,3,0,0,0,0:00,0,0,1,1,0,0,1,1
fb7ebdda8658fa05,8753e125f4499816,UFC Fight Night: Luque vs. Muhammad,"April 16, 2022",1897b7b913736a7c,Alatengheili,35b3772629e27a49,Kevin Croom,1897b7b913736a7c,KO/TKO,1,0:47,Bantamweight,False,9,17,0,0,1,0:01,0,0,9,16,0,1,0,0,2,12,0,0,0,0:00,0,0,0,5,1,6,1,1
24ff385ca78c80d3,4a35913bd9aa4161,UFC Fight Night: Whittaker vs. Gastelum,"April 17, 2021",601964f9654f911a,Tony Gravely,c5a126ace82a6025,Anthony Birchak,601964f9654f911a,KO/TKO,2,1:31,Bantamweight,False,50,88,3,5,1,3:20,0,0,27,59,3,3,2,3,26,49,0,1,0,0:27,1,1,10,28,2,5,2,2
2230a5dbc0907859,bc7cf284c1c2f16e,UFC on FOX: Machida vs Rockhold,"April 18, 2015",cb696ebfb6598724,Aljamain Sterling,48e093ea1f43a053,Takeya Mizugaki,cb696ebfb6598724,SUB,3,2:11,Bantamweight,False,28,35,0,6,0,3:09,0,0,5,11,7,7,11,12,10,24,0,1,0,0:14,0,0,2,14,4,5,1,2
b5299e5b946015e5,c3ac8d0da7b05772,UFC Fight Night: Burns vs. Malott,"April 18, 2026",f1d64ae34e088832,Charles Jourdain,60425d07ef4b91a7,Kyler Phillips,f1d64ae34e088832,DEC U,3,5:00,Bantamweight,False,15,22,0,0,0,0:00,0,0,3,6,2,4,0,0,14,21,3,4,0,3:51,0,0,5,10,0,1,1,1
32087c183dffcae0,c3ac8d0da7b05772,UFC Fight Night: Burns vs. Malott,"April 18, 2026",450bcab0968562c4,John Yannis,e6679e38e7fab7a8,Jamie Siraj,450bcab0968562c4,KO/TKO,1,2:43,Bantamweight,False,21,34,0,0,1,0:09,0,0,12,24,8,8,1,2,6,24,0,2,0,0:00,0,0,4,17,2,5,0,2
b229ee2997b70d16,aa79d5399571068e,UFC on FOX: Henderson vs Melendez,"April 20, 2013",c849740a3ff51931,TJ Dillashaw,f95381efb3051d81,Hugo Viana,c849740a3ff51931,KO/TKO,1,4:22,Bantamweight,False,22,45,1,3,1,1:02,0,0,16,39,3,3,2,2,13,36,0,0,0,0:00,0,0,8,30,1,2,2,2
33a93002fef6c89d,155bfc7ed36622df,UFC 145: Jones vs Evans,"April 21, 2012",d0314416a7f26527,Michael McDonald,33b2f68ef95252e0,Miguel Torres,d0314416a7f26527,KO/TKO,1,3:18,Bantamweight,False,16,59,0,0,1,0:02,0,0,13,55,3,4,0,0,8,29,0,0,0,0:00,0,0,6,26,1,2,1,1
