fight_id,event_id,event_name,event_date,fighter_a_id,fighter_a_name,fighter_b_id,fighter_b_name,winner_id,method,round,time,weight_class,is_title_fight,fighter_a_strikes_landed,fighter_a_strikes_attempted,fighter_a_takedowns_landed,fighter_a_takedowns_attempted,fighter_a_knockdowns,fighter_a_control_time,fighter_a_submission_attempts,fighter_a_reversals,fighter_a_head_strikes_landed,fighter_a_head_strikes_attempted,fighter_a_body_strikes_landed,fighter_a_body_strikes_attempted,fighter_a_leg_strikes_landed,fighter_a_leg_strikes_attempted,fighter_b_strikes_landed,fighter_b_strikes_attempted,fighter_b_takedowns_landed,fighter_b_takedowns_attempted,fighter_b_knockdowns,fighter_b_control_time,fighter_b_submission_attempts,fighter_b_reversals,fighter_b_head_strikes_landed,fighter_b_head_strikes_attempted,fighter_b_body_strikes_landed,fighter_b_body_strikes_attempted,fighter_b_leg_strikes_landed,fighter_b_leg_strikes_attempted
bbebfc54abbb1d8b,16d09e800ad7ec79,UFC Fight Night: Mendes vs Lamas,"April 04, 2015",b5b684eac99ae0a3,Chad Mendes,3974fa35c917af1d,Ricardo Lamas,b5b684eac99ae0a3,KO/TKO,1,2:45,Featherweight,False,32,37,0,0,2,0:41,0,0,24,28,0,0,3,4,8,22,0,0,0,0:00,0,0,2,16,0,0,6,6
0c25bb24dbb63655,16d09e800ad7ec79,UFC Fight Night: Mendes vs Lamas,"April 04, 2015",c47df9303d318c67,Clay Guida,960d6cae8879ba2b,Robert Peralta,c47df9303d318c67,DEC U,3,5:00,Featherweight,False,44,85,6,11,0,11:10,1,0,4,40,8,8,15,16,41,103,0,0,0,0:00,0,0,13,71,2,3,9,10
c27bec45d5a29a2c,9a70f67ad2187fa3,UFC Fight Night: Moicano vs. Duncan,"April 04, 2026",6b0a6def604de298,Tommy McMillen,fd7ab338e4953644,Manolo Zecchini,6b0a6def604de298,KO/TKO,1,3:57,Featherweight,False,76,138,0,0,1,0:06,0,0,51,98,23,36,0,0,21,64,0,0,0,0:15,0,0,14,48,6,12,0,1
7924f10aac3543de,9a70f67ad2187fa3,UFC Fight Night: Moicano vs. Duncan,"April 04, 2026",d7c4956d61ae76a9,Jose Delano,92aed9d16794f42b,Robert Ruchala,d7c4956d61ae76a9,DEC U,3,5:00,Featherweight,False,127,193,0,5,0,0:38,0,0,71,132,34,37,2,3,69,200,0,3,0,1:08,0,0,40,149,20,32,7,17
86a1be10255eea4e,86b30a86664cb6e4,UFC Fight Night: Emmett vs. Murphy,"April 05, 2025",396fe87b84ac2e1c,Lerone Murphy,fba03cd6cc28dc41,Josh Emmett,396fe87b84ac2e1c,DEC U,5,5:00,Featherweight,False,117,195,0,0,0,0:06,0,0,37,90,17,30,30,37,44,149,4,11,0,3:39,0,0,29,124,6,11,6,8
a160e94fdb66de17,86b30a86664cb6e4,UFC Fight Night: Emmett vs. Murphy,"April 05, 2025",b8bbdeff718dbb7d,Pat Sabatini,791c8437b341fba5,Joanderson Brito,b8bbdeff718dbb7d,DEC U,3,5:00,Featherweight,False,135,158,4,5,0,13:47,1,0,22,28,2,3,0,0,27,46,0,0,0,0:00,1,0,2,6,1,2,0,1
f3ebaf9af44c1e6d,6291ac0a3726732f,UFC on FUEL TV: Mousasi vs Latifi,"April 06, 2013",c2e3e67b5911bfb7,Diego Brandao,8e5bfd4e82352340,Pablo Garza,c2e3e67b5911bfb7,SUB,1,3:27,Featherweight,False,18,27,0,0,0,1:40,1,0,4,11,2,2,3,5,6,17,1,2,0,0:00,0,0,2,12,1,1,1,1
53467e6296c2e5e6,6291ac0a3726732f,UFC on FUEL TV: Mousasi vs Latifi,"April 06, 2013",3f52ce18fb98008f,Akira Corassani,960d6cae8879ba2b,Robert Peralta,3f52ce18fb98008f,DEC U,3,5:00,Featherweight,False,57,96,2,6,0,4:29,0,0,18,49,9,12,21,25,94,172,0,2,0,2:11,0,0,29,98,20,27,18,19
24393bea0c4cf49a,6291ac0a3726732f,UFC on FUEL TV: Mousasi vs Latifi,"April 06, 2013",f4c49976c75c5ab2,Conor McGregor,81801f57bd0a7c41,Marcus Brimage,f4c49976c75c5ab2,KO/TKO,1,1:07,Featherweight,False,22,36,0,0,1,0:05,0,0,20,34,1,1,0,0,12,41,0,0,0,0:00,0,0,7,34,2,2,3,5
9c22ddb8d8fc1838,899eaba48fa864a6,UFC Fight Night: Allen vs. Curtis 2,"April 06, 2024",29af297d9f1de0f8,Damon Jackson,262a7d06203657e6,Alexander Hernandez,29af297d9f1de0f8,DEC S,3,5:00,Featherweight,False,85,135,3,7,0,6:18,0,0,20,60,10,12,12,13,56,119,0,0,1,2:22,0,0,20,69,6,11,6,7
32375b4435fea5e6,899eaba48fa864a6,UFC Fight Night: Allen vs. Curtis 2,"April 06, 2024",e0c6edcb5b5d0b90,Chepe Mariscal,5b03b61f9d90125e,Morgan Charriere,e0c6edcb5b5d0b90,DEC S,3,5:00,Featherweight,False,121,199,1,8,0,3:38,0,1,42,94,10,19,19,24,75,139,2,5,0,3:42,1,1,30,83,16,17,3,4
95edc0b6438f2592,49e7e05f902479ca,UFC 223: Khabib vs. Iaquinta,"April 07, 2018",b6452706b373eea1,Renato Moicano,751de04455cfaac0,Calvin Kattar,b6452706b373eea1,DEC U,3,5:00,Featherweight,False,117,207,0,0,0,0:00,0,0,60,133,18,27,38,46,41,140,0,2,0,0:01,0,0,35,131,5,8,1,1
6c5f7f98ec0b6f17,49e7e05f902479ca,UFC 223: Khabib vs. Iaquinta,"April 07, 2018",87aa9fb63d6b51a1,Zabit Magomedsharipov,c5af5750e8bae4f0,Kyle Bochniak,87aa9fb63d6b51a1,DEC U,3,5:00,Featherweight,False,114,237,5,11,0,3:49,0,0,75,188,11,14,11,15,44,164,0,2,0,0:40,0,0,34,149,9,13,0,1
23ba0218f9f65e33,e7bfdb5e0112891e,UFC 210: Cormier vs. Johnson 2,"April 08, 2017",08e908ed6d18d6a0,Myles Jury,1971869b7e054261,Mike de la Torre,08e908ed6d18d6a0,KO/TKO,1,3:30,Featherweight,False,44,62,1,1,0,3:02,0,0,36,51,0,1,0,0,2,5,0,0,0,0:00,0,0,0,3,0,0,0,0
ddb015ac5c067aa9,e7bfdb5e0112891e,UFC 210: Cormier vs. Johnson 2,"April 08, 2017",98d961097baaf308,Shane Burgos,40093d1d2d78394e,Charles Rosa,98d961097baaf308,KO/TKO,3,1:59,Featherweight,False,98,190,0,0,1,0:11,0,0,55,133,13,23,9,11,86,261,1,7,0,0:44,0,0,46,190,6,22,34,49
0810cdbeb9dd4d02,3dc3022232b79c7a,UFC 287: Pereira vs. Adesanya 2,"April 08, 2023",97cf1a2c7c5e7889,Steve Garcia,0a73acff6325c1e2,Shayilan Nuerdanbieke,97cf1a2c7c5e7889,KO/TKO,2,0:36,Featherweight,False,50,77,0,0,1,0:15,0,0,14,37,3,3,0,0,31,63,1,2,1,3:34,0,0,15,31,3,4,0,0
dc0ab34f1952cb48,3a97fda0de6f1fa4,UFC 273: Volkanovski vs. The Korean Zombie,"April 09, 2022",e1248941344b3288,Alexander Volkanovski,c451d67c09c55418,Chan Sung Jung,e1248941344b3288,KO/TKO,4,0:45,Featherweight,True,152,228,4,8,1,2:52,0,0,102,171,10,13,26,29,51,128,0,0,0,0:00,0,0,31,103,9,11,8,11
42afd8c4fc85f485,4887e5bc4dbb73ff,UFC Fight Night: Rothwell vs Dos Santos,"April 10, 2016",7413b80dbb0f8f9f,Lucas Martins,1dafccb62a0f98ec,Robert Whiteford,7413b80dbb0f8f9f,DEC S,3,5:00,Featherweight,False,31,88,0,0,0,0:00,0,0,20,69,4,10,6,8,90,158,1,4,0,1:35,0,0,20,64,14,20,11,15
71b81d8199a0fa19,9114c8ded5ccd71d,UFC Fight Night: Vettori vs. Holland,"April 10, 2021",040a74bb0a465c54,Arnold Allen,94426bb170c88115,Sodiq Yusuff,040a74bb0a465c54,DEC U,3,5:00,Featherweight,False,26,68,2,5,1,5:09,0,0,15,53,6,7,0,1,79,164,0,1,0,2:33,1,0,24,85,12,17,11,11
93a1cd50374397c0,9114c8ded5ccd71d,UFC Fight Night: Vettori vs. Holland,"April 10, 2021",12e0fdc606f7e274,Luis Saldana,ebef46976554f975,Jordan Griffin,12e0fdc606f7e274,DEC U,3,5:00,Featherweight,False,40,94,0,0,0,2:18,1,1,19,67,8,10,9,11,39,77,4,7,0,6:18,2,1,22,55,9,11,2,3
a2e1e35e4e84e08d,d632d156c0549e07,UFC Fight Night: Minotauro vs Nelson,"April 11, 2014",c47df9303d318c67,Clay Guida,80d918336163b80c,Tatsuya Kawajiri,c47df9303d318c67,DEC U,3,5:00,Featherweight,False,92,113,3,10,1,8:59,0,0,18,39,7,7,22,22,36,68,1,5,0,2:46,1,0,18,48,0,2,1,1
f7fac3df5c6dc91f,d632d156c0549e07,UFC Fight Night: Minotauro vs Nelson,"April 11, 2014",fe5a9547479396ab,Jim Alers,f2ad06f1007c481a,Alan Omer,fe5a9547479396ab,DEC S,3,5:00,Featherweight,False,97,163,2,5,1,6:25,0,0,20,70,5,9,11,14,69,112,1,3,0,3:01,0,0,33,70,10,15,15,16
439905344ee8035e,5de61b03868035ff,UFC Fight Night: Gonzaga vs Cro Cop 2,"April 11, 2015",3623bd267a2eef2e,Yaotzin Meza,42a7e90605df3c8a,Damian Stasiak,3623bd267a2eef2e,DEC U,3,5:00,Featherweight,False,70,82,2,2,0,10:12,3,1,4,11,1,1,12,13,16,25,1,2,0,2:42,1,1,8,14,3,6,3,3
8502afcf211973a9,5de61b03868035ff,UFC Fight Night: Gonzaga vs Cro Cop 2,"April 11, 2015",8b1ed83b02303075,Taylor Lapilus,0d1c163b206e8c5f,Rocky Lee,8b1ed83b02303075,DEC U,3,5:00,Featherweight,False,86,149,2,3,0,2:00,1,1,45,104,26,29,9,10,49,84,1,10,0,3:43,0,0,10,43,13,14,14,15
