fight_id,event_id,event_name,event_date,fighter_a_id,fighter_a_name,fighter_b_id,fighter_b_name,winner_id,method,round,time,weight_class,is_title_fight,fighter_a_strikes_landed,fighter_a_strikes_attempted,fighter_a_takedowns_landed,fighter_a_takedowns_attempted,fighter_a_knockdowns,fighter_a_control_time,fighter_a_submission_attempts,fighter_a_reversals,fighter_a_head_strikes_landed,fighter_a_head_strikes_attempted,fighter_a_body_strikes_landed,fighter_a_body_strikes_attempted,fighter_a_leg_strikes_landed,fighter_a_leg_strikes_attempted,fighter_b_strikes_landed,fighter_b_strikes_attempted,fighter_b_takedowns_landed,fighter_b_takedowns_attempted,fighter_b_knockdowns,fighter_b_control_time,fighter_b_submission_attempts,fighter_b_reversals,fighter_b_head_strikes_landed,fighter_b_head_strikes_attempted,fighter_b_body_strikes_landed,fighter_b_body_strikes_attempted,fighter_b_leg_strikes_landed,fighter_b_leg_strikes_attempted
af2a9d47ca8115e4,9a70f67ad2187fa3,UFC Fight Night: Moicano vs. Duncan,"April 04, 2026",3fa97913cfd205d3,Alessandro Costa,2bd98ab77a8daa75,Stewart Nicoll,3fa97913cfd205d3,KO/TKO,2,4:56,Flyweight,False,47,97,2,3,1,1:18,0,0,26,67,11,13,6,9,47,99,0,5,0,0:06,0,0,26,73,12,16,9,10
de9422207df2de64,86b30a86664cb6e4,UFC Fight Night: Emmett vs. Murphy,"April 05, 2025",6d68c1afe954f121,Ode Osbourne,29162be25ebef5f0,Luis Gurule,6d68c1afe954f121,KO/TKO,2,1:54,Flyweight,False,22,50,0,0,1,0:07,0,0,11,33,6,9,1,1,26,49,1,4,0,2:17,0,0,3,13,0,7,9,14
c4da9ec26a924a7d,e7bfdb5e0112891e,UFC 210: Cormier vs. Johnson 2,"April 08, 2017",87f19d19f4cb73f8,Magomed Bibulatov,ec664422b22d9787,Jenel Lausa,87f19d19f4cb73f8,DEC U,3,5:00,Flyweight,False,94,165,2,7,0,7:41,0,0,36,89,10,19,5,7,31,56,0,0,0,0:26,0,0,7,26,2,4,1,1
fd98843926965cbd,22f4b6cb6b1bd7fd,UFC 314: Volkanovski vs. Lopes,"April 12, 2025",3cf18e01cb6cbde3,Sumudaerji,0be6776db31d98ec,Mitch Raposo,3cf18e01cb6cbde3,DEC S,3,5:00,Flyweight,False,78,150,0,0,0,0:00,0,0,25,84,5,8,15,22,13,30,6,19,0,4:18,0,0,8,25,0,0,1,1
c6b040021b4ceb0f,b0550072e5f0afa7,UFC 236: Holloway vs. Poirier 2,"April 13, 2019",a0f0004aadf10b71,Alexandre Pantoja,5aedf14771ca82d2,Wilson Reis,a0f0004aadf10b71,KO/TKO,1,2:58,Flyweight,False,26,36,0,0,1,0:14,0,0,19,28,4,5,0,0,2,7,1,4,0,0:47,0,0,0,4,0,1,1,1
15aee8ad5d9e9d58,620be7e0712d431b,UFC Fight Night: Poirier vs. Gaethje,"April 14, 2018",92437c6775b3f7d1,John Moraga,5aedf14771ca82d2,Wilson Reis,92437c6775b3f7d1,DEC U,3,5:00,Flyweight,False,69,116,0,0,0,0:42,1,2,30,73,12,14,4,4,61,127,8,16,0,7:43,0,0,6,52,1,4,5,5
f63961f9d14bc33d,ed069a95aaaf4f56,UFC on FOX: Johnson vs. Reis,"April 15, 2017",8a304bfd6bf04a57,Demetrious Johnson,5aedf14771ca82d2,Wilson Reis,8a304bfd6bf04a57,SUB,3,4:49,Flyweight,True,135,216,1,2,0,2:18,1,0,81,154,16,20,11,12,18,170,0,6,0,0:01,0,0,2,139,2,14,12,15
41cef92a01e7ff3c,ed069a95aaaf4f56,UFC on FOX: Johnson vs. Reis,"April 15, 2017",c96d9178c9ed9e62,Tim Elliott,d2bc285ead803db0,Louis Smolka,c96d9178c9ed9e62,DEC U,3,5:00,Flyweight,False,98,136,12,14,0,8:03,1,3,34,64,15,18,8,9,47,105,1,4,0,2:40,2,4,35,89,4,6,2,2
bbde45b2c766bb67,15b1b21cd743d652,UFC Fight Night: Holloway vs. Allen,"April 15, 2023",6e15f63b6c2e2c15,Brandon Royval,1a31ef98efce7a79,Matheus Nicolau,6e15f63b6c2e2c15,KO/TKO,1,2:09,Flyweight,False,13,22,0,0,1,0:07,0,0,13,20,0,1,0,1,2,5,0,0,0,0:00,0,0,1,4,0,0,1,1
b36362f5db72abee,a421465acbe59c77,UFC on FOX: Werdum vs Browne,"April 19, 2014",f53c1f4ceeed8c08,Dustin Ortiz,a4de54ea806fb525,Ray Borg,f53c1f4ceeed8c08,DEC S,3,5:00,Flyweight,False,107,144,2,4,0,5:24,0,1,14,43,28,33,4,4,21,37,5,8,0,5:59,2,1,9,21,3,5,0,1
