fight_id,event_id,event_name,event_date,fighter_a_id,fighter_a_name,fighter_b_id,fighter_b_name,winner_id,method,round,time,weight_class,is_title_fight,fighter_a_strikes_landed,fighter_a_strikes_attempted,fighter_a_takedowns_landed,fighter_a_takedowns_attempted,fighter_a_knockdowns,fighter_a_control_time,fighter_a_submission_attempts,fighter_a_reversals,fighter_a_head_strikes_landed,fighter_a_head_strikes_attempted,fighter_a_body_strikes_landed,fighter_a_body_strikes_attempted,fighter_a_leg_strikes_landed,fighter_a_leg_strikes_attempted,fighter_b_strikes_landed,fighter_b_strikes_attempted,fighter_b_takedowns_landed,fighter_b_takedowns_attempted,fighter_b_knockdowns,fighter_b_control_time,fighter_b_submission_attempts,fighter_b_reversals,fighter_b_head_strikes_landed,fighter_b_head_strikes_attempted,fighter_b_body_strikes_landed,fighter_b_body_strikes_attempted,fighter_b_leg_strikes_landed,fighter_b_leg_strikes_attempted
0f23c5569204a69b,e8fb8e53bc2e29d6,UFC 47: It's On!,"April 02, 2004",3738e68d2261e60f,Andrei Arlovski,4e9fb05d7e5e61b8,Wesley Correira,3738e68d2261e60f,KO/TKO,2,1:15,Heavyweight,False,51,83,0,0,1,0:06,0,0,41,68,2,2,8,13,4,29,0,0,0,0:00,0,0,2,25,0,0,2,4
3b8bfe14b0c297b2,e8fb8e53bc2e29d6,UFC 47: It's On!,"April 02, 2004",56b8b24f65f9f057,Mike Kyle,e0f7c4f3f67bc808,Wes Sims,56b8b24f65f9f057,KO/TKO,1,4:59,Heavyweight,False,48,55,0,1,1,3:59,1,0,8,10,1,1,4,4,6,8,0,1,0,0:12,3,0,0,1,0,1,0,0
ba5e8c30d41559fd,e8fb8e53bc2e29d6,UFC 47: It's On!,"April 02, 2004",60884f31ead1609c,Jonathan Wiezorek,a9a314cc77d90b6e,Wade Shipp,60884f31ead1609c,KO/TKO,1,4:40,Heavyweight,False,37,37,1,4,0,1:52,0,0,10,10,0,0,0,0,42,48,0,0,0,0:44,0,0,11,14,7,7,2,2
f9373ab59b7a853b,16d09e800ad7ec79,UFC Fight Night: Mendes vs Lamas,"April 04, 2015",cc900af167fbedfd,Timothy Johnson,2f5cbecbbe18bac4,Shamil Abdurakhimov,cc900af167fbedfd,KO/TKO,1,4:57,Heavyweight,False,33,72,1,2,0,0:58,0,0,14,44,1,6,7,9,11,27,0,1,0,0:31,0,0,5,19,0,1,4,5
0760bc02280574dd,9a70f67ad2187fa3,UFC Fight Night: Moicano vs. Duncan,"April 04, 2026",764d39074a352e33,Thomas Petersen,ba15006c804a8de0,Guilherme Pat,764d39074a352e33,DEC M,3,5:00,Heavyweight,False,164,199,0,5,1,8:36,0,0,22,33,2,4,4,4,25,42,0,0,0,0:00,0,0,9,22,3,3,5,6
fc4fc81d3b7cc3bd,a6c2f5381d575920,UFC Fight Night: Stevenson vs Guillard,"April 05, 2007",75f871836d41f90f,Justin McCully,69b69c0178c4004d,Antoni Hardonk,75f871836d41f90f,DEC U,3,5:00,Heavyweight,False,80,120,3,5,0,13:29,0,0,19,38,0,0,2,2,50,61,0,0,0,0:00,1,0,10,18,14,15,2,2
96cc199d78732d11,86b30a86664cb6e4,UFC Fight Night: Emmett vs. Murphy,"April 05, 2025",8eb046f83e82bf26,Martin Buday,02f484417a6fa69d,Uran Satybaldiev,8eb046f83e82bf26,DEC U,3,5:00,Heavyweight,False,142,211,0,1,0,5:06,0,0,29,72,3,4,26,31,45,154,0,2,0,0:20,0,0,19,120,6,6,11,15
fb1f1b0c9ef454dc,b361180739bed4b0,UFC Fight Night 4,"April 06, 2006",b369533a577fa97c,Dan Christison,4908c5ee68a50ee5,Brad Imes,b369533a577fa97c,SUB,3,3:37,Heavyweight,False,91,167,0,0,0,1:47,1,1,39,110,10,12,24,26,80,183,2,2,0,3:38,0,1,48,143,8,12,2,2
a89b9eeacdb85ec1,6291ac0a3726732f,UFC on FUEL TV: Mousasi vs Latifi,"April 06, 2013",ba280572acfba13f,Matt Mitrione,6ef65b6a152e49d5,Philip De Fries,ba280572acfba13f,KO/TKO,1,0:19,Heavyweight,False,7,9,0,0,0,0:03,0,0,7,9,0,0,0,0,0,2,0,2,0,0:00,0,0,0,2,0,0,0,0
ff5a8078ea85bbc7,899eaba48fa864a6,UFC Fight Night: Allen vs. Curtis 2,"April 06, 2024",0c25d0a5e8cdbf19,Lukasz Brzeski,f5779a2303ed76ec,Valter Walker,0c25d0a5e8cdbf19,DEC U,3,5:00,Heavyweight,False,135,200,0,0,0,0:43,0,1,27,70,16,17,15,15,56,101,4,5,0,7:19,0,1,19,50,6,8,8,9
