fight_id,event_id,event_name,event_date,fighter_a_id,fighter_a_name,fighter_b_id,fighter_b_name,winner_id,method,round,time,weight_class,is_title_fight,fighter_a_strikes_landed,fighter_a_strikes_attempted,fighter_a_takedowns_landed,fighter_a_takedowns_attempted,fighter_a_knockdowns,fighter_a_control_time,fighter_a_submission_attempts,fighter_a_reversals,fighter_a_head_strikes_landed,fighter_a_head_strikes_attempted,fighter_a_body_strikes_landed,fighter_a_body_strikes_attempted,fighter_a_leg_strikes_landed,fighter_a_leg_strikes_attempted,fighter_b_strikes_landed,fighter_b_strikes_attempted,fighter_b_takedowns_landed,fighter_b_takedowns_attempted,fighter_b_knockdowns,fighter_b_control_time,fighter_b_submission_attempts,fighter_b_reversals,fighter_b_head_strikes_landed,fighter_b_head_strikes_attempted,fighter_b_body_strikes_landed,fighter_b_body_strikes_attempted,fighter_b_leg_strikes_landed,fighter_b_leg_strikes_attempted
a7d42315236560e9,04d5718ed2661e8c,UFC Fight Night: Condit vs Kampmann,"April 01, 2009",c0ab242c40decc55,Ryan Bader,aa03a3ca00ac6827,Carmelo Marrero,c0ab242c40decc55,DEC U,3,5:00,Light Heavyweight,False,87,122,5,7,0,10:04,2,0,17,46,1,4,6,6,20,55,0,0,0,1:01,0,0,6,37,0,3,3,3
2dbd0bc3e61ca00b,e8fb8e53bc2e29d6,UFC 47: It's On!,"April 02, 2004",a390eb8a9b2df298,Chuck Liddell,2f732dd9210d301f,Tito Ortiz,a390eb8a9b2df298,KO/TKO,2,0:38,Light Heavyweight,False,23,65,0,0,1,0:01,0,0,22,63,1,2,0,0,13,32,0,2,0,0:00,0,0,7,25,0,0,6,7
dbe6c361530958bc,b9e871af730f826c,UFC Fight Night: Florian vs Lauzon,"April 02, 2008",98b80a717b9bda17,Matt Hamill,c80095f6092271a7,Tim Boetsch,98b80a717b9bda17,KO/TKO,2,1:25,Light Heavyweight,False,53,96,1,1,0,2:38,0,0,30,70,0,0,1,1,23,63,0,1,0,0:03,0,0,9,48,5,6,4,4
10b19bb48aadc6bd,b9e871af730f826c,UFC Fight Night: Florian vs Lauzon,"April 02, 2008",a7f4d0902bb64092,James Irvin,0541480fbf719d86,Houston Alexander,a7f4d0902bb64092,KO/TKO,1,0:08,Light Heavyweight,False,3,4,0,0,1,0:02,0,0,3,4,0,0,0,0,0,1,0,0,0,0:00,0,0,0,1,0,0,0,0
ad487d1c6141d90a,9a70f67ad2187fa3,UFC Fight Night: Moicano vs. Duncan,"April 04, 2026",95aff2fd8d09a5f0,Abdul Rakhman Yakhyaev,49edd0d90f60fb7d,Brendson Ribeiro,95aff2fd8d09a5f0,SUB,1,2:52,Light Heavyweight,False,23,38,2,3,0,1:56,1,0,6,14,1,1,0,0,8,17,0,0,0,0:00,0,0,5,13,1,1,2,3
de2b0b8ef112f3b7,a6c2f5381d575920,UFC Fight Night: Stevenson vs Guillard,"April 05, 2007",af5b208e97f5d382,Wilson Gouveia,93b9496275bbbf80,Seth Petruzelli,af5b208e97f5d382,SUB,2,0:39,Light Heavyweight,False,37,59,1,1,0,3:14,1,0,10,29,1,2,6,8,26,48,1,1,0,0:13,0,0,4,26,0,0,4,4
d39ce3ecd3fbdadf,b361180739bed4b0,UFC Fight Night 4,"April 06, 2006",c6a33ff198aaaeeb,Stephan Bonnar,b9d0fd83bb8a147a,Keith Jardine,c6a33ff198aaaeeb,DEC U,3,5:00,Light Heavyweight,False,52,113,1,6,1,3:53,1,0,20,77,10,10,3,6,90,146,0,1,0,0:28,0,0,34,81,15,17,15,20
99eb03e6c7dc4be2,b361180739bed4b0,UFC Fight Night 4,"April 06, 2006",ee779c43a8926d52,Rashad Evans,84a067c46306a737,Sam Hoger,ee779c43a8926d52,DEC S,3,5:00,Light Heavyweight,False,46,95,9,11,0,9:23,0,0,19,67,4,5,0,0,59,113,0,1,0,0:03,2,0,8,54,9,17,1,1
3509779ebe302d06,6291ac0a3726732f,UFC on FUEL TV: Mousasi vs Latifi,"April 06, 2013",232c582f29f8f65e,Gegard Mousasi,e9a3aeb207578eea,Ilir Latifi,232c582f29f8f65e,DEC U,3,5:00,Light Heavyweight,False,80,150,0,0,0,0:06,0,0,62,120,7,18,11,12,20,114,1,3,0,0:31,0,0,11,101,3,5,4,6
12563423bf15e75d,49e7e05f902479ca,UFC 223: Khabib vs. Iaquinta,"April 07, 2018",cc7040fe76f0ef91,Devin Clark,18b602842a24f7c5,Mike Rodriguez,cc7040fe76f0ef91,DEC U,3,5:00,Light Heavyweight,False,167,200,7,11,0,11:26,0,0,30,38,12,16,8,10,66,95,0,0,0,0:38,0,0,17,39,21,23,2,4
