fight_id,event_id,event_name,event_date,fighter_a_id,fighter_a_name,fighter_b_id,fighter_b_name,winner_id,method,round,time,weight_class,is_title_fight,fighter_a_strikes_landed,fighter_a_strikes_attempted,fighter_a_takedowns_landed,fighter_a_takedowns_attempted,fighter_a_knockdowns,fighter_a_control_time,fighter_a_submission_attempts,fighter_a_reversals,fighter_a_head_strikes_landed,fighter_a_head_strikes_attempted,fighter_a_body_strikes_landed,fighter_a_body_strikes_attempted,fighter_a_leg_strikes_landed,fighter_a_leg_strikes_attempted,fighter_b_strikes_landed,fighter_b_strikes_attempted,fighter_b_takedowns_landed,fighter_b_takedowns_attempted,fighter_b_knockdowns,fighter_b_control_time,fighter_b_submission_attempts,fighter_b_reversals,fighter_b_head_strikes_landed,fighter_b_head_strikes_attempted,fighter_b_body_strikes_landed,fighter_b_body_strikes_attempted,fighter_b_leg_strikes_landed,fighter_b_leg_strikes_attempted
f1100f1bc6cbb351,04d5718ed2661e8c,UFC Fight Night: Condit vs Kampmann,"April 01, 2009",20205040232ed0f3,Tyson Griffin,6a2f7c151031653d,Rafael Dos Anjos,20205040232ed0f3,DEC U,3,5:00,Lightweight,False,101,245,1,4,0,2:51,0,0,40,174,14,22,15,17,29,137,0,1,0,0:05,3,1,18,120,4,8,4,6
33e576af1d064e4e,04d5718ed2661e8c,UFC Fight Night: Condit vs Kampmann,"April 01, 2009",282fa667ff9c51ed,Cole Miller,d74cba8566291bfa,Junie Browning,282fa667ff9c51ed,SUB,1,1:58,Lightweight,False,5,18,0,0,0,0:00,1,0,1,13,2,3,0,0,1,3,0,1,0,1:05,0,0,0,2,1,1,0,0
9c7a67ce1d6a01f9,04d5718ed2661e8c,UFC Fight Night: Condit vs Kampmann,"April 01, 2009",75e5fec9f72910ef,Gleison Tibau,18968f97ad34f15c,Jeremy Stephens,75e5fec9f72910ef,DEC U,3,5:00,Lightweight,False,46,65,5,13,0,10:09,3,0,5,18,1,1,1,1,40,57,0,0,0,0:43,0,0,8,23,9,9,6,8
268f0fcc45e1a6fe,e8fb8e53bc2e29d6,UFC 47: It's On!,"April 02, 2004",5f04e3d58d9ce982,Yves Edwards,e0ec3c3b6b611f7e,Hermes Franca,5f04e3d58d9ce982,DEC S,3,5:00,Lightweight,False,66,92,0,0,0,4:52,1,1,9,29,2,2,10,12,63,104,4,10,0,3:46,2,1,6,39,0,1,2,4
1d9d91f78334129d,e8fb8e53bc2e29d6,UFC 47: It's On!,"April 02, 2004",99dd0147dc4ef80c,Genki Sudo,e0b74df14f52cd15,Mike Brown,99dd0147dc4ef80c,SUB,1,3:31,Lightweight,False,10,12,1,1,0,0:12,4,0,0,2,5,5,1,1,36,41,1,2,0,2:59,0,0,7,9,0,0,6,6
362f78f23304c6f4,b9e871af730f826c,UFC Fight Night: Florian vs Lauzon,"April 02, 2008",cb139171ed1b69fe,Kenny Florian,3bad7ef643840f67,Joe Lauzon,cb139171ed1b69fe,KO/TKO,2,3:28,Lightweight,False,115,165,2,4,0,3:43,0,0,26,65,7,7,2,2,9,16,2,3,0,1:51,2,0,5,11,0,0,0,1
190c61d5a67018b5,b9e871af730f826c,UFC Fight Night: Florian vs Lauzon,"April 02, 2008",7d96bc577e5178b2,Gray Maynard,f2688492b9a525a3,Frankie Edgar,7d96bc577e5178b2,DEC U,3,5:00,Lightweight,False,27,74,9,10,0,6:17,0,0,15,58,4,7,0,0,31,80,1,5,0,0:32,0,0,20,69,3,3,3,3
089dd2e0cc6395fa,b9e871af730f826c,UFC Fight Night: Florian vs Lauzon,"April 02, 2008",8355922d564b152c,Nate Diaz,aa1952ec0b3dd8e1,Kurt Pellegrino,8355922d564b152c,SUB,2,3:06,Lightweight,False,28,41,1,1,0,1:22,1,0,0,10,2,2,4,5,35,50,3,3,0,5:43,0,1,19,33,1,1,0,0
9103686732816d77,b9e871af730f826c,UFC Fight Night: Florian vs Lauzon,"April 02, 2008",d1a1314976c50bef,Josh Neer,40a604761ca7d64d,Din Thomas,d1a1314976c50bef,DEC U,3,5:00,Lightweight,False,124,210,3,4,0,8:09,0,0,60,139,6,8,14,17,42,111,2,5,0,1:32,0,0,17,81,2,2,1,1
6ca284a75c21c2e0,b9e871af730f826c,UFC Fight Night: Florian vs Lauzon,"April 02, 2008",04643fd03d9159cc,Marcus Aurelio,35dc6220b113b7ec,Ryan Roberts,04643fd03d9159cc,SUB,1,0:16,Lightweight,False,6,11,0,0,1,0:06,1,0,6,11,0,0,0,0,0,1,0,0,0,0:00,0,0,0,1,0,0,0,0
b89dea8c3e6bba6f,b9e871af730f826c,UFC Fight Night: Florian vs Lauzon,"April 02, 2008",cc6f9d1e89f3449a,Manvel Gamburyan,c9bbf1a0285a8076,Jeff Cox,cc6f9d1e89f3449a,SUB,1,1:41,Lightweight,False,5,6,1,5,0,0:13,1,0,0,1,3,3,0,0,3,5,0,1,0,1:13,0,0,0,2,0,0,2,2
f35b859289fba80e,b9e871af730f826c,UFC Fight Night: Florian vs Lauzon,"April 02, 2008",c47df9303d318c67,Clay Guida,1208ffc5be6e31ad,Samy Schiavo,c47df9303d318c67,KO/TKO,1,4:15,Lightweight,False,24,39,1,1,0,1:55,0,0,10,24,1,2,0,0,4,22,0,0,0,0:00,0,0,4,21,0,1,0,0
634dbcef5111f939,16d09e800ad7ec79,UFC Fight Night: Mendes vs Lamas,"April 04, 2015",59279a7c978f7da0,Al Iaquinta,47b9e0e7703a4868,Jorge Masvidal,59279a7c978f7da0,DEC S,3,5:00,Lightweight,False,55,153,0,9,0,0:07,0,0,18,107,11,18,26,28,86,173,0,0,0,0:25,0,0,62,146,10,11,11,13
9eb92b670eebdcd4,16d09e800ad7ec79,UFC Fight Night: Mendes vs Lamas,"April 04, 2015",c58f51dedb310998,Michael Chiesa,c76ec2bc3a57666a,Mitch Clarke,c58f51dedb310998,DEC U,3,5:00,Lightweight,False,98,173,4,7,0,5:23,0,0,48,113,9,13,2,2,81,141,0,4,0,2:35,0,0,36,85,14,17,15,18
12c600dc64edb403,16d09e800ad7ec79,UFC Fight Night: Mendes vs Lamas,"April 04, 2015",029eaff01e6bb8f0,Dustin Poirier,f53d4f21d1b5f2dc,Diego Ferreira,029eaff01e6bb8f0,KO/TKO,1,3:45,Lightweight,False,29,56,0,0,2,0:46,0,0,20,45,1,2,3,3,20,56,0,2,0,0:58,0,0,12,46,5,7,3,3
85dcf9425d3c4e56,16d09e800ad7ec79,UFC Fight Night: Mendes vs Lamas,"April 04, 2015",d06f8869449ba7bd,Alexander Yakovlev,7d96bc577e5178b2,Gray Maynard,d06f8869449ba7bd,DEC U,3,5:00,Lightweight,False,46,92,2,5,1,2:53,0,0,21,59,9,11,1,2,27,61,2,17,0,2:54,0,0,16,41,3,12,2,2
d69bd8e53ec858dc,9a70f67ad2187fa3,UFC Fight Night: Moicano vs. Duncan,"April 04, 2026",b6452706b373eea1,Renato Moicano,fd406a32a6fb3a29,Chris Duncan,b6452706b373eea1,SUB,2,3:14,Lightweight,False,62,84,1,4,0,3:16,1,0,16,31,4,4,1,1,30,66,0,2,0,0:01,0,0,8,39,5,7,14,16
9c9c26679701b84d,9a70f67ad2187fa3,UFC Fight Night: Moicano vs. Duncan,"April 04, 2026",65db4065e2bc107d,Darrius Flowers,f9b200db02b488d9,Lando Vannata,65db4065e2bc107d,KO/TKO,2,0:52,Lightweight,False,44,69,2,2,0,0:23,1,0,10,26,4,4,6,6,31,42,2,7,0,2:16,0,0,19,25,5,8,3,3
a5a749aa0061fdb4,9a70f67ad2187fa3,UFC Fight Night: Moicano vs. Duncan,"April 04, 2026",eee0ef3e2b14816b,Kai Kamaka III,6142edbd477d20c9,Dakota Hope,eee0ef3e2b14816b,DEC S,3,5:00,Lightweight,False,144,199,0,1,0,0:23,0,0,44,94,47,51,14,14,155,312,1,3,1,1:18,0,0,62,201,43,54,1,3
e9390cff6e5d52d0,a6c2f5381d575920,UFC Fight Night: Stevenson vs Guillard,"April 05, 2007",79899ecf62020f6d,Joe Stevenson,ccd1299e0345e0ce,Melvin Guillard,79899ecf62020f6d,SUB,1,0:27,Lightweight,False,2,3,1,1,0,0:11,1,0,2,3,0,0,0,0,1,7,0,0,0,0:03,0,0,1,7,0,0,0,0
b2443846570bee7b,a6c2f5381d575920,UFC Fight Night: Stevenson vs Guillard,"April 05, 2007",cb139171ed1b69fe,Kenny Florian,b14a68c533f4a4aa,Dokonjonosuke Mishima,cb139171ed1b69fe,SUB,3,3:57,Lightweight,False,94,132,1,1,0,7:15,1,0,25,57,2,3,11,12,28,58,1,10,0,1:29,2,0,4,30,1,4,1,2
b15bebf4c6b6f495,a6c2f5381d575920,UFC Fight Night: Stevenson vs Guillard,"April 05, 2007",aa1952ec0b3dd8e1,Kurt Pellegrino,04c15b52c3cc1cab,Nate Mohr,aa1952ec0b3dd8e1,SUB,1,2:58,Lightweight,False,9,12,1,2,0,1:54,1,0,3,6,1,1,0,0,16,21,0,0,0,0:00,0,0,4,8,2,2,0,1
e89db3b111f92587,a6c2f5381d575920,UFC Fight Night: Stevenson vs Guillard,"April 05, 2007",8a59d346dc976a10,Thiago Tavares,bc8f6b42767e28df,Naoyuki Kotani,8a59d346dc976a10,DEC U,3,5:00,Lightweight,False,159,175,4,6,0,5:09,2,1,13,18,7,7,1,3,72,94,1,2,0,5:54,1,3,3,17,1,2,8,11
fa520c5834cda94e,6291ac0a3726732f,UFC on FUEL TV: Mousasi vs Latifi,"April 06, 2013",4f732e58ed907eff,Ross Pearson,46fd223e3ced39b3,Ryan Couture,4f732e58ed907eff,KO/TKO,2,3:45,Lightweight,False,48,62,1,1,1,0:11,0,0,22,35,6,6,0,0,35,83,1,7,0,3:08,0,0,7,38,12,18,10,21
bc0779b232828e67,6291ac0a3726732f,UFC on FUEL TV: Mousasi vs Latifi,"April 06, 2013",e25bcbcdaf6537a1,Reza Madadi,511e82663651438d,Michael Johnson,e25bcbcdaf6537a1,SUB,3,1:33,Lightweight,False,79,98,4,6,0,6:07,2,0,33,44,1,2,0,0,21,66,0,0,1,1:49,0,0,13,53,6,10,1,1
6ff21ea2c75c48ed,899eaba48fa864a6,UFC Fight Night: Allen vs. Curtis 2,"April 06, 2024",e4a47b07044ddd72,Ignacio Bahamondes,de45aaae23dfa392,Christos Giagos,e4a47b07044ddd72,KO/TKO,1,3:34,Lightweight,False,40,69,0,0,1,0:15,0,0,26,53,8,9,6,6,18,46,0,1,0,0:10,0,0,7,31,3,7,7,7
47f8812a335b6ce9,899eaba48fa864a6,UFC Fight Night: Allen vs. Curtis 2,"April 06, 2024",b39f7a6c2be17ee8,Charlie Campbell,0bc697c5936a2d0a,Trevor Peek,b39f7a6c2be17ee8,DEC U,3,5:00,Lightweight,False,100,153,4,10,0,5:41,0,1,20,50,18,29,16,21,62,118,2,3,0,3:15,0,0,32,77,6,11,9,9
e7fdbd5c65798a5c,c1684f00c626f4c0,UFC 69: Shootout,"April 07, 2007",daf1b84aebd6602b,Roger Huerta,917e53fa0adea0d3,Leonard Garcia,daf1b84aebd6602b,DEC U,3,5:00,Lightweight,False,152,300,6,7,0,10:06,0,1,79,198,6,8,0,0,58,134,0,1,0,1:05,2,2,23,75,3,6,3,8
eab7b76e177e1903,49e7e05f902479ca,UFC 223: Khabib vs. Iaquinta,"April 07, 2018",032cc3922d871c7f,Khabib Nurmagomedov,59279a7c978f7da0,Al Iaquinta,032cc3922d871c7f,DEC U,5,5:00,Lightweight,True,172,352,6,15,0,10:33,1,0,122,287,7,12,5,5,43,143,0,1,0,0:00,0,0,27,117,11,20,3,4
bab65d16fa74fc5b,49e7e05f902479ca,UFC 223: Khabib vs. Iaquinta,"April 07, 2018",feaf00f3373435d6,Chris Gruetzemacher,3bad7ef643840f67,Joe Lauzon,feaf00f3373435d6,KO/TKO,2,5:00,Lightweight,False,135,203,0,0,0,1:38,0,0,72,135,45,50,11,11,49,138,0,2,0,0:00,0,0,40,125,7,10,1,2
