fight_id,event_id,event_name,event_date,fighter_a_id,fighter_a_name,fighter_b_id,fighter_b_name,winner_id,method,round,time,weight_class,is_title_fight,fighter_a_strikes_landed,fighter_a_strikes_attempted,fighter_a_takedowns_landed,fighter_a_takedowns_attempted,fighter_a_knockdowns,fighter_a_control_time,fighter_a_submission_attempts,fighter_a_reversals,fighter_a_head_strikes_landed,fighter_a_head_strikes_attempted,fighter_a_body_strikes_landed,fighter_a_body_strikes_attempted,fighter_a_leg_strikes_landed,fighter_a_leg_strikes_attempted,fighter_b_strikes_landed,fighter_b_strikes_attempted,fighter_b_takedowns_landed,fighter_b_takedowns_attempted,fighter_b_knockdowns,fighter_b_control_time,fighter_b_submission_attempts,fighter_b_reversals,fighter_b_head_strikes_landed,fighter_b_head_strikes_attempted,fighter_b_body_strikes_landed,fighter_b_body_strikes_attempted,fighter_b_leg_strikes_landed,fighter_b_leg_strikes_attempted
4b9203b86f0aa870,04d5718ed2661e8c,UFC Fight Night: Condit vs Kampmann,"April 01, 2009",91186547a7f3f758,Ricardo Almeida,049d698d773eb3e1,Matt Horwich,91186547a7f3f758,DEC U,3,5:00,Middleweight,False,79,107,9,15,0,8:23,1,0,32,56,9,10,0,1,52,66,0,2,0,2:04,3,0,3,14,13,14,9,11
c642640db89fb033,04d5718ed2661e8c,UFC Fight Night: Condit vs Kampmann,"April 01, 2009",89b8d1bf1ff09d1d,Tim Credeur,f8fe2053d73d7bcf,Nick Catone,89b8d1bf1ff09d1d,SUB,2,3:45,Middleweight,False,10,40,0,0,0,0:24,7,0,6,34,2,4,1,1,37,56,3,3,0,5:32,0,0,14,29,4,7,1,1
4cffb137402f7bb0,04d5718ed2661e8c,UFC Fight Night: Condit vs Kampmann,"April 01, 2009",cb46dface0e28a2c,Jorge Rivera,d632d156c0549e07,Nissen Osterneck,cb46dface0e28a2c,DEC S,3,5:00,Middleweight,False,61,85,4,8,1,7:04,0,1,13,29,10,12,6,7,74,110,1,8,0,4:50,1,1,11,43,14,16,10,11
a561360edf66ee6f,04d5718ed2661e8c,UFC Fight Night: Condit vs Kampmann,"April 01, 2009",054defd5420a551f,Rob Kimmons,d35c3ed553b71fa2,Joe Vedepo,054defd5420a551f,SUB,1,1:54,Middleweight,False,13,21,0,0,0,0:10,2,0,5,12,1,2,1,1,12,20,1,1,0,1:03,0,0,4,11,0,1,0,0
ddc233f8ca7c05aa,04d5718ed2661e8c,UFC Fight Night: Condit vs Kampmann,"April 01, 2009",d5f820c11a121050,Aaron Simpson,9ca265dfe8323db3,Tim McKenzie,d5f820c11a121050,KO/TKO,1,1:40,Middleweight,False,27,40,1,1,1,1:05,0,0,11,22,3,3,2,2,2,5,0,0,0,0:00,0,0,1,4,0,0,0,0
3845a6838fe00265,16d09e800ad7ec79,UFC Fight Night: Mendes vs Lamas,"April 04, 2015",6dd758d34da8d254,Ron Stallings,9b75954db8db2a08,Justin Jones,6dd758d34da8d254,DEC U,3,5:00,Middleweight,False,87,127,0,0,0,0:48,0,0,31,60,17,21,2,3,88,145,2,12,0,9:24,0,0,12,59,3,3,8,10
e284a194fb4648a9,9a70f67ad2187fa3,UFC Fight Night: Moicano vs. Duncan,"April 04, 2026",147e70aa6cc48cfc,Tresean Gore,3bc3f60b21cddc6a,Azamat Bekoev,147e70aa6cc48cfc,SUB,3,3:27,Middleweight,False,98,136,2,3,0,4:09,1,0,51,85,8,8,19,20,128,175,2,5,1,1:57,0,0,33,58,30,50,7,7
0c80eef2f4570543,86b30a86664cb6e4,UFC Fight Night: Emmett vs. Murphy,"April 05, 2025",0c6d9ea8306c029e,Brad Tavares,6ac9bc2953c47345,Gerald Meerschaert,0c6d9ea8306c029e,DEC U,3,5:00,Middleweight,False,56,118,0,0,0,0:01,0,0,29,85,12,18,6,6,51,97,0,8,0,4:44,0,0,27,66,7,10,4,7
d1368ca941c1fefc,86b30a86664cb6e4,UFC Fight Night: Emmett vs. Murphy,"April 05, 2025",fbb60f24af5d5a02,Torrez Finney,0cd0456d6029cec2,Robert Valentin,fbb60f24af5d5a02,DEC S,3,5:00,Middleweight,False,17,35,8,17,0,13:16,0,0,2,5,2,3,0,0,93,126,0,0,0,0:16,0,1,18,32,4,6,1,1
44a79a250fdd61cd,b361180739bed4b0,UFC Fight Night 4,"April 06, 2006",d43a048a880efdff,Chris Leben,9583662df31d943f,Luigi Fioravanti,d43a048a880efdff,DEC U,3,5:00,Middleweight,False,200,259,5,7,0,9:34,0,0,26,68,8,18,2,4,41,60,0,5,0,2:02,0,0,9,27,3,4,8,8
fa193b3d07c0ed9b,b361180739bed4b0,UFC Fight Night 4,"April 06, 2006",48d1f690b763934c,Chael Sonnen,f5ff7bcdcfeba3ad,Trevor Prangley,48d1f690b763934c,DEC U,3,5:00,Middleweight,False,109,174,7,17,0,11:01,0,0,17,47,6,10,2,2,29,45,0,2,0,1:10,2,0,5,20,2,2,0,0
7047b70f28c2d2fd,6291ac0a3726732f,UFC on FUEL TV: Mousasi vs Latifi,"April 06, 2013",8abf70f79e9e27c2,Tor Troeng,b27b8881d7444114,Adam Cella,8abf70f79e9e27c2,SUB,1,3:11,Middleweight,False,16,23,1,1,0,2:21,1,0,5,8,0,1,1,2,4,14,0,0,0,0:00,0,0,1,8,0,2,1,2
438f5404c43303b8,6291ac0a3726732f,UFC on FUEL TV: Mousasi vs Latifi,"April 06, 2013",4d44f37107f01b9b,Tom Lawlor,b7f38813485745da,Michael Kuiper,4d44f37107f01b9b,SUB,2,1:05,Middleweight,False,10,16,0,7,0,2:49,1,0,4,10,3,3,0,0,23,40,3,3,0,2:11,0,0,11,21,3,6,0,2
3ce96bb0c69b39be,899eaba48fa864a6,UFC Fight Night: Allen vs. Curtis 2,"April 06, 2024",2f181c0467965b98,Brendan Allen,5442f1bc4b47eaf3,Chris Curtis,2f181c0467965b98,DEC S,5,5:00,Middleweight,False,128,242,6,13,0,6:05,0,0,72,172,25,34,15,16,141,261,0,0,0,1:18,0,2,96,205,25,33,3,3
3cf5e0ebb5f8322c,899eaba48fa864a6,UFC Fight Night: Allen vs. Curtis 2,"April 06, 2024",64d47ef881a437a4,Cesar Almeida,a817e238b2747404,Dylan Budka,64d47ef881a437a4,KO/TKO,2,2:13,Middleweight,False,87,101,0,0,0,0:12,0,0,21,29,7,8,1,1,6,11,3,6,0,5:53,0,0,0,4,1,1,0,0
cb93f5f9d09b29f1,c1684f00c626f4c0,UFC 69: Shootout,"April 07, 2007",acff437707625fc7,Yushin Okami,9fe85152f351e737,Mike Swick,acff437707625fc7,DEC U,3,5:00,Middleweight,False,129,170,4,9,0,7:11,2,0,24,50,2,2,2,3,48,121,0,0,0,0:58,0,1,14,77,3,6,11,16
33b9285aec39e37f,c1684f00c626f4c0,UFC 69: Shootout,"April 07, 2007",234f3767ff0e5701,Kendall Grove,4130a743d9d22163,Alan Belcher,234f3767ff0e5701,SUB,2,4:42,Middleweight,False,95,128,1,1,0,4:44,2,0,25,52,10,16,6,6,10,15,1,7,0,2:12,0,0,0,5,5,5,3,3
54cf1ffbc6e7a9fd,c1684f00c626f4c0,UFC 69: Shootout,"April 07, 2007",cfb65863d5099327,Thales Leites,0359313549d230a1,Pete Sell,cfb65863d5099327,DEC U,3,5:00,Middleweight,False,125,155,3,8,0,10:54,4,0,48,75,3,4,5,5,14,25,0,0,0,0:35,2,0,1,10,2,4,0,0
