fight_id,event_id,event_name,event_date,fighter_a_id,fighter_a_name,fighter_b_id,fighter_b_name,winner_id,method,round,time,weight_class,is_title_fight,fighter_a_strikes_landed,fighter_a_strikes_attempted,fighter_a_takedowns_landed,fighter_a_takedowns_attempted,fighter_a_knockdowns,fighter_a_control_time,fighter_a_submission_attempts,fighter_a_reversals,fighter_a_head_strikes_landed,fighter_a_head_strikes_attempted,fighter_a_body_strikes_landed,fighter_a_body_strikes_attempted,fighter_a_leg_strikes_landed,fighter_a_leg_strikes_attempted,fighter_b_strikes_landed,fighter_b_strikes_attempted,fighter_b_takedowns_landed,fighter_b_takedowns_attempted,fighter_b_knockdowns,fighter_b_control_time,fighter_b_submission_attempts,fighter_b_reversals,fighter_b_head_strikes_landed,fighter_b_head_strikes_attempted,fighter_b_body_strikes_landed,fighter_b_body_strikes_attempted,fighter_b_leg_strikes_landed,fighter_b_leg_strikes_attempted
ae68274ab6f78cd8,04d5718ed2661e8c,UFC Fight Night: Condit vs Kampmann,"April 01, 2009",8b69839f3555a67b,Martin Kampmann,f9f07bb5a43535ed,Carlos Condit,8b69839f3555a67b,DEC S,3,5:00,Welterweight,False,12,21,2,2,0,1:18,4,1,2,10,3,3,0,0,18,41,1,1,0,1:58,0,0,8,31,5,5,0,0
47e17513aae45a95,04d5718ed2661e8c,UFC Fight Night: Condit vs Kampmann,"April 01, 2009",5eedbf1e9601be35,Brock Larson,59aaf2730b84698a,Jesse Sanders,5eedbf1e9601be35,SUB,1,2:01,Welterweight,False,30,40,1,2,0,1:27,1,0,13,20,0,0,0,0,0,3,0,0,0,0:00,0,0,0,2,0,0,0,1
eecbc6c850e62d97,e8fb8e53bc2e29d6,UFC 47: It's On!,"April 02, 2004",91acd6910b802a9e,Chris Lytle,cb6783c39c01d896,Tiki Ghosn,91acd6910b802a9e,SUB,2,1:55,Welterweight,False,30,63,1,2,0,0:11,0,0,14,42,5,9,4,5,26,40,0,0,0,0:27,0,0,7,16,7,10,7,9
0374646197b8e0fa,e8fb8e53bc2e29d6,UFC 47: It's On!,"April 02, 2004",f57a8a52ca401ed9,Nick Diaz,f2925e6db404bf1d,Robbie Lawler,f57a8a52ca401ed9,KO/TKO,2,1:31,Welterweight,False,24,62,0,1,0,0:47,0,0,11,45,3,4,3,5,14,53,0,0,0,0:00,0,0,10,48,2,3,0,0
78f46acac9223859,b9e871af730f826c,UFC Fight Night: Florian vs Lauzon,"April 02, 2008",31ee470ef5dc8d7f,Thiago Alves,349aaa3da11eb587,Karo Parisyan,31ee470ef5dc8d7f,KO/TKO,2,0:24,Welterweight,False,11,37,0,0,0,0:00,0,0,7,33,2,2,2,2,21,51,1,4,0,1:55,0,0,7,37,2,2,1,1
53e9e8fefa2c2f42,b9e871af730f826c,UFC Fight Night: Florian vs Lauzon,"April 02, 2008",896c322f56b8be5a,George Sotiropoulos,2961be02cfb0d2c1,Roman Mitichyan,896c322f56b8be5a,KO/TKO,2,2:24,Welterweight,False,33,43,2,3,0,3:31,3,1,7,15,0,1,0,0,6,14,0,0,0,0:36,0,1,0,6,0,1,2,3
30aa9b4d266eb622,b9e871af730f826c,UFC Fight Night: Florian vs Lauzon,"April 02, 2008",365fee2da473b177,Anthony Johnson,1411c630ba711b64,Tommy Speer,365fee2da473b177,KO/TKO,1,0:51,Welterweight,False,15,25,0,0,1,0:01,0,0,14,24,0,0,1,1,0,7,0,2,0,0:00,0,0,0,7,0,0,0,0
73ed365b57dc1a6e,a6c2f5381d575920,UFC Fight Night: Stevenson vs Guillard,"April 05, 2007",d814f5192e58fb2f,Drew Fickett,65ddc8a9ac4e8531,Keita Nakamura,d814f5192e58fb2f,DEC U,3,5:00,Welterweight,False,42,61,0,0,0,1:38,0,0,13,29,16,19,1,1,20,42,1,1,0,2:02,0,1,5,15,2,2,0,0
6d370bfe4248dc88,a6c2f5381d575920,UFC Fight Night: Stevenson vs Guillard,"April 05, 2007",9d4522df6fc49a47,Kuniyoshi Hironaka,e86bc32f5997a8f7,Forrest Petz,9d4522df6fc49a47,DEC U,3,5:00,Welterweight,False,19,26,1,3,0,3:26,1,0,9,15,2,2,0,1,1,8,0,0,0,0:00,0,0,0,6,0,0,1,2
460b421493dd9fb8,a6c2f5381d575920,UFC Fight Night: Stevenson vs Guillard,"April 05, 2007",1c86754617d9813a,Roan Carneiro,7d21de9c6d7c98b2,Rich Clementi,1c86754617d9813a,DEC U,3,5:00,Welterweight,False,16,20,2,2,0,3:10,0,0,7,11,0,0,1,1,18,26,0,0,0,0:00,0,0,2,10,0,0,2,2
58811a4e36c53b89,86b30a86664cb6e4,UFC Fight Night: Emmett vs. Murphy,"April 05, 2025",f748267c4ab6c127,Rhys McKee,7cec3c4a5e7b6d68,Daniel Frunza,f748267c4ab6c127,KO/TKO,1,5:00,Welterweight,False,59,133,0,0,3,1:10,0,0,33,99,6,8,4,4,50,124,0,0,0,0:00,0,0,31,98,3,9,9,10
d066287b31c871a6,b361180739bed4b0,UFC Fight Night 4,"April 06, 2006",d1a1314976c50bef,Josh Neer,79899ecf62020f6d,Joe Stevenson,d1a1314976c50bef,DEC U,3,5:00,Welterweight,False,16,43,0,0,0,2:21,0,0,10,36,0,0,0,0,13,17,1,1,0,0:40,3,0,6,9,0,1,3,3
3adae93bbf06287a,b361180739bed4b0,UFC Fight Night 4,"April 06, 2006",93ce4ac89e3d7652,Luke Cummo,c4b9296214f4c09c,Jason Von Flue,93ce4ac89e3d7652,DEC U,3,5:00,Welterweight,False,39,68,2,2,0,1:27,0,0,8,32,2,6,6,6,15,37,0,1,0,1:10,0,0,6,27,3,4,2,2
eeb77732d7c3389a,b361180739bed4b0,UFC Fight Night 4,"April 06, 2006",6f018c039b4d5d80,Jon Fitch,6da99156486ed6c2,Joshua Burkman,6f018c039b4d5d80,SUB,2,4:57,Welterweight,False,59,73,1,1,1,1:48,0,0,6,17,3,4,2,2,19,27,1,3,0,2:25,0,0,2,10,0,0,17,17
622cada31f247f9a,b361180739bed4b0,UFC Fight Night 4,"April 06, 2006",dd37fd509af89f15,Josh Koscheck,7342fcc41a4817fa,Ansar Chalangov,dd37fd509af89f15,SUB,1,3:29,Welterweight,False,6,15,2,2,0,2:45,1,0,2,9,0,0,0,2,2,4,0,0,0,0:08,1,0,2,4,0,0,0,0
9eb1ce435cc1536e,6291ac0a3726732f,UFC on FUEL TV: Mousasi vs Latifi,"April 06, 2013",1e327b281ef6a745,Adlan Amagov,411d012af19ecb59,Chris Spang,1e327b281ef6a745,DEC U,3,5:00,Welterweight,False,10,23,1,1,0,0:03,0,0,2,4,1,2,7,17,1,16,0,0,0,0:00,0,0,0,10,1,2,0,4
8b0ff8defc1a14f4,6291ac0a3726732f,UFC on FUEL TV: Mousasi vs Latifi,"April 06, 2013",4c7781da8c6cae93,Ryan LaFlare,c4fe2e9a06ea5bcb,Ben Alloway,4c7781da8c6cae93,DEC U,3,5:00,Welterweight,False,24,38,3,3,0,4:09,0,0,7,19,3,3,0,0,6,10,0,0,0,0:00,0,0,1,4,1,1,0,0
e67e15cc6578d1c3,6291ac0a3726732f,UFC on FUEL TV: Mousasi vs Latifi,"April 06, 2013",c9f6385af6df66d7,Papy Abedi,98ec9f385cca47fc,Besam Yousef,c9f6385af6df66d7,DEC S,3,5:00,Welterweight,False,25,39,2,2,0,2:32,0,0,4,13,10,11,3,7,29,43,0,0,0,0:50,0,0,6,16,4,5,2,2
0b9cd718d7e329e8,899eaba48fa864a6,UFC Fight Night: Allen vs. Curtis 2,"April 06, 2024",cdb96af67d096b1e,Alex Morono,523fa774700d7d3f,Court McGee,cdb96af67d096b1e,DEC U,3,5:00,Welterweight,False,12,50,0,0,0,0:00,0,0,8,42,2,6,2,2,22,52,0,0,0,0:00,0,0,3,16,13,25,6,11
9f60dd19c5705d45,c1684f00c626f4c0,UFC 69: Shootout,"April 07, 2007",86dfed7cc24a9fa7,Matt Serra,6506c1d34da9c013,Georges St-Pierre,86dfed7cc24a9fa7,KO/TKO,1,3:25,Welterweight,True,20,40,0,0,2,0:00,0,0,13,31,3,5,4,4,6,23,0,1,0,0:05,0,0,4,20,0,0,2,3
fc4e42a55ba285f6,c1684f00c626f4c0,UFC 69: Shootout,"April 07, 2007",dd37fd509af89f15,Josh Koscheck,82e7929bf6c2b689,Diego Sanchez,dd37fd509af89f15,DEC U,3,5:00,Welterweight,False,8,31,1,1,0,0:14,0,0,6,28,0,1,1,1,1,27,0,0,0,0:07,0,1,0,26,0,0,1,1
