2026-05-04 11:19:40,044 [INFO] Obteniendo lista de todos los eventos...
2026-05-04 11:19:42,280 [INFO] Encontrados 772 eventos
2026-05-04 11:19:42,288 [INFO] Guardados 772 eventos en events.json
2026-05-04 11:19:42,292 [INFO] [1/772] Scrapeando: UFC Fight Night: Della Maddalena vs. Prates (May 02, 2026)
2026-05-04 11:19:45,472 [INFO] [2/772] Scrapeando: UFC Fight Night: Sterling vs. Zalal (April 25, 2026)
2026-05-04 11:19:47,061 [INFO] [3/772] Scrapeando: UFC Fight Night: Burns vs. Malott (April 18, 2026)
2026-05-04 11:19:48,829 [INFO] [4/772] Scrapeando: UFC 327: Prochazka vs. Ulberg (April 11, 2026)
2026-05-04 11:19:50,659 [INFO] [5/772] Scrapeando: UFC Fight Night: Moicano vs. Duncan (April 04, 2026)
2026-05-04 11:19:54,482 [INFO] [6/772] Scrapeando: UFC Fight Night: Adesanya vs. Pyfer (March 28, 2026)
2026-05-04 11:19:56,348 [INFO] [7/772] Scrapeando: UFC Fight Night: Evloev vs. Murphy (March 21, 2026)
2026-05-04 11:19:58,120 [INFO] [8/772] Scrapeando: UFC Fight Night: Emmett vs. Vallejos (March 14, 2026)
2026-05-04 11:20:02,510 [INFO] [9/772] Scrapeando: UFC 326: Holloway vs. Oliveira 2 (March 07, 2026)
2026-05-04 11:20:08,610 [INFO] [10/772] Scrapeando: UFC Fight Night: Moreno vs. Kavanagh (February 28, 2026)
2026-05-04 11:20:20,483 [INFO] [11/772] Scrapeando: UFC Fight Night: Strickland vs. Hernandez (February 21, 2026)
2026-05-04 11:20:26,415 [INFO] [12/772] Scrapeando: UFC Fight Night: Bautista vs. Oliveira (February 07, 2026)
2026-05-04 11:20:30,105 [INFO] [13/772] Scrapeando: UFC 325: Volkanovski vs. Lopes 2 (January 31, 2026)
2026-05-04 11:20:31,905 [INFO] [14/772] Scrapeando: UFC 324: Gaethje vs. Pimblett (January 24, 2026)
2026-05-04 11:20:35,796 [INFO] [15/772] Scrapeando: UFC Fight Night: Royval vs. Kape (December 13, 2025)
2026-05-04 11:20:39,603 [INFO] [16/772] Scrapeando: UFC 323: Dvalishvili vs. Yan 2 (December 06, 2025)
2026-05-04 11:20:45,184 [INFO] [17/772] Scrapeando: UFC Fight Night: Tsarukyan vs. Hooker (November 22, 2025)
2026-05-04 11:20:50,572 [INFO] [18/772] Scrapeando: UFC 322: Della Maddalena vs. Makhachev (November 15, 2025)
2026-05-04 11:20:52,307 [INFO] [19/772] Scrapeando: UFC Fight Night: Bonfim vs. Brown (November 08, 2025)
2026-05-04 11:20:55,892 [INFO] [20/772] Scrapeando: UFC Fight Night: Garcia vs. Onama (November 01, 2025)
2026-05-04 11:20:57,483 [INFO] [21/772] Scrapeando: UFC 321: Aspinall vs. Gane (October 25, 2025)
2026-05-04 11:21:03,095 [INFO] [22/772] Scrapeando: UFC Fight Night: De Ridder vs. Allen (October 18, 2025)
2026-05-04 11:21:06,925 [INFO] [23/772] Scrapeando: UFC Fight Night: Oliveira vs. Gamrot (October 11, 2025)
2026-05-04 11:21:12,439 [INFO] [24/772] Scrapeando: UFC 320: Ankalaev vs. Pereira 2 (October 04, 2025)
2026-05-04 11:21:14,037 [INFO] [25/772] Scrapeando: UFC Fight Night: Ulberg vs. Reyes (September 27, 2025)
2026-05-04 11:21:15,625 [INFO] [26/772] Scrapeando: UFC Fight Night: Lopes vs. Silva (September 13, 2025)
2026-05-04 11:21:21,704 [INFO] [27/772] Scrapeando: UFC Fight Night: Imavov vs. Borralho (September 06, 2025)
2026-05-04 11:21:23,309 [INFO] [28/772] Scrapeando: UFC Fight Night: Walker vs. Zhang (August 23, 2025)
2026-05-04 11:21:29,067 [INFO] [29/772] Scrapeando: UFC - Road to UFC 4.6 (August 22, 2025)
2026-05-04 11:21:32,764 [INFO] [30/772] Scrapeando: UFC 319: Du Plessis vs. Chimaev (August 16, 2025)
2026-05-04 11:21:38,366 [INFO] [31/772] Scrapeando: UFC Fight Night: Dolidze vs. Hernandez (August 09, 2025)
2026-05-04 11:21:39,947 [INFO] [32/772] Scrapeando: UFC Fight Night: Taira vs. Park (August 02, 2025)
2026-05-04 11:21:44,713 [INFO] [33/772] Scrapeando: UFC Fight Night: Whittaker vs. De Ridder (July 26, 2025)
2026-05-04 11:21:48,275 [INFO] [34/772] Scrapeando: UFC 318: Holloway vs. Poirier 3 (July 19, 2025)
