2026-05-04 11:19:39,784 [INFO] Obteniendo lista de todos los eventos...
2026-05-04 11:19:42,239 [INFO] Encontrados 772 eventos
2026-05-04 11:19:42,247 [INFO] Guardados 772 eventos en events.json
2026-05-04 11:19:42,251 [INFO] [1/772] Scrapeando: UFC Fight Night: Della Maddalena vs. Prates (May 02, 2026)
2026-05-04 11:19:47,004 [INFO] [2/772] Scrapeando: UFC Fight Night: Sterling vs. Zalal (April 25, 2026)
2026-05-04 11:19:50,187 [INFO] [3/772] Scrapeando: UFC Fight Night: Burns vs. Malott (April 18, 2026)
2026-05-04 11:19:53,872 [INFO] [4/772] Scrapeando: UFC 327: Prochazka vs. Ulberg (April 11, 2026)
2026-05-04 11:19:59,565 [INFO] [5/772] Scrapeando: UFC Fight Night: Moicano vs. Duncan (April 04, 2026)
2026-05-04 11:20:01,157 [INFO] [6/772] Scrapeando: UFC Fight Night: Adesanya vs. Pyfer (March 28, 2026)
2026-05-04 11:20:06,073 [INFO] [7/772] Scrapeando: UFC Fight Night: Evloev vs. Murphy (March 21, 2026)
2026-05-04 11:20:10,110 [INFO] [8/772] Scrapeando: UFC Fight Night: Emmett vs. Vallejos (March 14, 2026)
2026-05-04 11:20:13,941 [INFO] [9/772] Scrapeando: UFC 326: Holloway vs. Oliveira 2 (March 07, 2026)
2026-05-04 11:20:19,765 [INFO] [10/772] Scrapeando: UFC Fight Night: Moreno vs. Kavanagh (February 28, 2026)
2026-05-04 11:20:21,497 [INFO] [11/772] Scrapeando: UFC Fight Night: Strickland vs. Hernandez (February 21, 2026)
2026-05-04 11:20:33,453 [INFO] [12/772] Scrapeando: UFC Fight Night: Bautista vs. Oliveira (February 07, 2026)
2026-05-04 11:20:38,754 [INFO] [13/772] Scrapeando: UFC 325: Volkanovski vs. Lopes 2 (January 31, 2026)
2026-05-04 11:20:42,219 [INFO] [14/772] Scrapeando: UFC 324: Gaethje vs. Pimblett (January 24, 2026)
2026-05-04 11:20:45,799 [INFO] [15/772] Scrapeando: UFC Fight Night: Royval vs. Kape (December 13, 2025)
2026-05-04 11:20:49,421 [INFO] [16/772] Scrapeando: UFC 323: Dvalishvili vs. Yan 2 (December 06, 2025)
2026-05-04 11:20:51,029 [INFO] [17/772] Scrapeando: UFC Fight Night: Tsarukyan vs. Hooker (November 22, 2025)
2026-05-04 11:20:58,352 [INFO] [18/772] Scrapeando: UFC 322: Della Maddalena vs. Makhachev (November 15, 2025)
2026-05-04 11:21:07,173 [INFO] [19/772] Scrapeando: UFC Fight Night: Bonfim vs. Brown (November 08, 2025)
2026-05-04 11:21:12,882 [INFO] [20/772] Scrapeando: UFC Fight Night: Garcia vs. Onama (November 01, 2025)
2026-05-04 11:21:20,518 [INFO] [21/772] Scrapeando: UFC 321: Aspinall vs. Gane (October 25, 2025)
2026-05-04 11:21:22,100 [INFO] [22/772] Scrapeando: UFC Fight Night: De Ridder vs. Allen (October 18, 2025)
2026-05-04 11:21:25,729 [INFO] [23/772] Scrapeando: UFC Fight Night: Oliveira vs. Gamrot (October 11, 2025)
2026-05-04 11:21:29,394 [INFO] [24/772] Scrapeando: UFC 320: Ankalaev vs. Pereira 2 (October 04, 2025)
2026-05-04 11:21:35,050 [INFO] [25/772] Scrapeando: UFC Fight Night: Ulberg vs. Reyes (September 27, 2025)
2026-05-04 11:21:38,238 [INFO] [26/772] Scrapeando: UFC Fight Night: Lopes vs. Silva (September 13, 2025)
2026-05-04 11:21:41,818 [INFO] [27/772] Scrapeando: UFC Fight Night: Imavov vs. Borralho (September 06, 2025)
2026-05-04 11:21:49,266 [INFO] [28/772] Scrapeando: UFC Fight Night: Walker vs. Zhang (August 23, 2025)
2026-05-04 11:21:56,931 [INFO] [29/772] Scrapeando: UFC - Road to UFC 4.6 (August 22, 2025)
2026-05-04 11:21:58,584 [INFO] [30/772] Scrapeando: UFC 319: Du Plessis vs. Chimaev (August 16, 2025)
2026-05-04 11:22:03,425 [INFO] [31/772] Scrapeando: UFC Fight Night: Dolidze vs. Hernandez (August 09, 2025)
2026-05-04 11:22:07,097 [INFO] [32/772] Scrapeando: UFC Fight Night: Taira vs. Park (August 02, 2025)
2026-05-04 11:22:10,628 [INFO] [33/772] Scrapeando: UFC Fight Night: Whittaker vs. De Ridder (July 26, 2025)
2026-05-04 11:22:14,680 [INFO] [34/772] Scrapeando: UFC 318: Holloway vs. Poirier 3 (July 19, 2025)
2026-05-04 11:22:22,360 [INFO] [35/772] Scrapeando: UFC Fight Night: Lewis vs. Teixeira (July 12, 2025)
2026-05-04 11:22:29,770 [INFO] [36/772] Scrapeando: UFC 317: Topuria vs. Oliveira (June 28, 2025)
2026-05-04 11:22:33,481 [INFO] [37/772] Scrapeando: UFC Fight Night: Hill vs. Rountree Jr. (June 21, 2025)
2026-05-04 11:22:37,104 [INFO] [38/772] Scrapeando: UFC Fight Night: Usman vs. Buckley (June 14, 2025)
2026-05-04 11:22:44,415 [INFO] [39/772] Scrapeando: UFC 316: Dvalishvili vs. O'Malley 2 (June 07, 2025)
2026-05-04 11:22:50,272 [INFO] [40/772] Scrapeando: UFC Fight Night: Blanchfield vs. Barber (May 31, 2025)
2026-05-04 11:22:53,826 [INFO] [41/772] Scrapeando: UFC Fight Night: Burns vs. Morales (May 17, 2025)
2026-05-04 11:22:57,270 [INFO] [42/772] Scrapeando: UFC 315: Muhammad vs. Della Maddalena (May 10, 2025)
2026-05-04 11:23:09,219 [INFO] [43/772] Scrapeando: UFC Fight Night: Sandhagen vs. Figueiredo (May 03, 2025)
2026-05-04 11:23:12,779 [INFO] [44/772] Scrapeando: UFC Fight Night: Machado Garry vs. Prates (April 26, 2025)
2026-05-04 11:23:18,253 [INFO] [45/772] Scrapeando: UFC 314: Volkanovski vs. Lopes (April 12, 2025)
2026-05-04 11:23:24,227 [INFO] [46/772] Scrapeando: UFC Fight Night: Emmett vs. Murphy (April 05, 2025)
2026-05-04 11:23:28,279 [INFO] [47/772] Scrapeando: UFC Fight Night: Moreno vs. Erceg (March 29, 2025)
2026-05-04 11:23:29,870 [INFO] [48/772] Scrapeando: UFC Fight Night: Edwards vs. Brady (March 22, 2025)
2026-05-04 11:23:35,204 [INFO] [49/772] Scrapeando: UFC Fight Night: Vettori vs. Dolidze 2 (March 15, 2025)
2026-05-04 11:23:39,043 [INFO] [50/772] Scrapeando: UFC 313: Pereira vs. Ankalaev (March 08, 2025)
2026-05-04 11:23:42,730 [INFO] [51/772] Scrapeando: UFC Fight Night: Kape vs. Almabayev (March 01, 2025)
2026-05-04 11:23:46,413 [INFO] [52/772] Scrapeando: UFC Fight Night: Cejudo vs. Song (February 22, 2025)
2026-05-04 11:23:47,990 [INFO] [53/772] Scrapeando: UFC Fight Night: Cannonier vs. Rodrigues (February 15, 2025)
2026-05-04 11:23:51,593 [INFO] [54/772] Scrapeando: UFC 312: Du Plessis vs. Strickland 2 (February 08, 2025)
2026-05-04 11:23:56,888 [INFO] [55/772] Scrapeando: UFC Fight Night: Adesanya vs. Imavov (February 01, 2025)
2026-05-04 11:23:59,183 [INFO] [56/772] Scrapeando: UFC 311: Makhachev vs. Moicano (January 18, 2025)
2026-05-04 11:24:00,800 [INFO] [57/772] Scrapeando: UFC Fight Night: Dern vs. Ribas 2 (January 11, 2025)
2026-05-04 11:24:09,647 [INFO] [58/772] Scrapeando: UFC Fight Night: Covington vs. Buckley (December 14, 2024)
2026-05-04 11:24:12,961 [INFO] [59/772] Scrapeando: UFC 310: Pantoja vs. Asakura (December 07, 2024)
2026-05-04 11:24:22,030 [INFO] [60/772] Scrapeando: UFC Fight Night: Yan vs. Figueiredo (November 23, 2024)
2026-05-04 11:24:25,641 [INFO] [61/772] Scrapeando: UFC 309: Jones vs. Miocic (November 16, 2024)
